id	title	problem_text	skill_description
19	083-remove-duplicates-from-sorted-list	"Given a sorted linked list, delete all duplicates such that each element appear only once.

Example 1:
Input: 1->1->2
Output: 1->2

Example 2:
Input: 1->1->2->3->3
Output: 1->2->3"	"This Python file implements a function to remove duplicate elements from a sorted linked list. The problem it solves is specified in LeetCode problem #83, 'remove duplicates from sorted list'. 

It iterates through the list, using a pointer 'cur'. At each step, it checks if the next node's value is equal to the current node's value. If it is, it bypasses the current node and moves to the next. Otherwise, the function proceeds to the next node."
20	086-partition-list	"Given a linked list and a value x, partition it such that all nodes less than x come before nodes greater than or equal to x.
You should preserve the original relative order of the nodes in each of the two partitions.

Example:
Input: head = 1->4->3->2->5->2, x = 3
Output: 1->2->2->4->3->5"	"This Python file solves the problem of partitioning a linked list given a specific value. Nodes less than this value will come before nodes equal to or greater, also preserving their order.

It utilizes a two-pointer approach to segregate the list into nodes less & greater than the given value. These segregated nodes are then reconstructed preserving their relative order, with a check at the end to ensure no trailing nodes are included. This solution is implemented in the 'partition' method."
21	088-merge-sorted-array	"description

Given two sorted integer arrays nums1 and nums2, merge nums2 into nums1 as one sorted array.

Note:
The number of elements initialized in nums1 and nums2 are m and n respectively.
You may assume that nums1 has enough space (size that is greater or equal to m + n) to hold additional elements from nums2.

Example:

Input:
nums1 = [1,2,3,0,0,0], m = 3
nums2 = [2,5,6],       n = 3

Output: [1,2,2,3,5,6]"	"The Python script provides a solution to the problem of merging two sorted arrays (`nums1` and `nums2`) into one sorted array. 
                      
This script utilizes an in-place strategy to avoid extra space usage. It starts comparing from the last element of both arrays and puts the larger one in the last index of `nums1`. It iteratively continues from the end, filling up `nums1` with the appropriate elements from either `nums1` or `nums2`. By doing so, it ensures that the merged array remains sorted."
22	100-same-tree	"description/

Given two binary trees, write a function to check if they are the same or not.
Two binary trees are considered the same if they are structurally identical and the nodes have the same value.

Example 1:
Input:     1         1
          / \       / \
         2   3     2   3

        [1,2,3],   [1,2,3]
Output: true

Example 2:
Input:     1         1
          /           \
         2             2

        [1,2],     [1,null,2]
Output: false

Example 3:
Input:     1         1
          / \       / \
         2   1     1   2

        [1,2,1],   [1,1,2]
Output: false"	"This Python file solves the problem of determining if two binary trees are identical in both structure and node values. It defines two methods, `isSameTree` and `isSameTree_iterative` to solve this. 

The recursive `isSameTree` method checks whether the current nodes are identical and then calls the same function recursively for left and right children. In case of a null node, it returns True.

The iterative `isSameTree_iterative` method uses a stack to go through both trees simultaneously and checks if each corresponding pair of nodes are equal. If the nodes’ values or structures are not equal, it returns False. 

These methods have a time complexity of O(n) where n is the total number of nodes."
23	1009-complement-of-base-10-integer	"The complement of an integer is the integer you get when you flip all the 0's to 1's and all the 1's to 0's 
in its binary representation.
For example, The integer 5 is ""101"" in binary and its complement is ""010"" which is the integer 2.
Given an integer n, return its complement.

Example 1:
Input: n = 5
Output: 2
Explanation: 5 is ""101"" in binary, with complement ""010"" in binary, which is 2 in base-10.

Example 2:
Input: n = 7
Output: 0
Explanation: 7 is ""111"" in binary, with complement ""000"" in binary, which is 0 in base-10.

Example 3:
Input: n = 10
Output: 5
Explanation: 10 is ""1010"" in binary, with complement ""0101"" in binary, which is 5 in base-10.
 
Constraints:
0 <= n < 109"	"The Python file solves the problem of finding the binary complement of a base-10 integer. Given an integer, it returns its binary complement, i.e., the integer that results from flipping all binary 0's to 1's and 1's to 0's.

The solution creates a mask starting from 1 and iteratively doubles and adds one to it until it's not less than the input number 'n'. Next, it calculates and returns the bitwise XOR (^) of the mask and 'n'. Bitwise XOR with the mask flips the bits of 'n', giving the binary complement. Its time complexity is O(logN) due to the mask creation loop."
24	101-symmetric-tree	"Given a binary tree, check whether it is a mirror of itself (ie, symmetric around its center).

For example, this binary tree [1,2,2,3,4,4,3] is symmetric:
    1
   / \
  2   2
 / \ / \
3  4 4  3
But the following [1,2,2,null,3,null,3] is not:
    1
   / \
  2   2
   \   \
   3    3

Note:
Bonus points if you could solve it both recursively and iteratively."	"This Python file solves the problem of checking if a binary tree is symmetric around its center or not, and it does so both recursively and iteratively.

It uses depth-first search to compare the left and right subtrees of the root. The `isMirror` function recursively checks if the left and right child nodes of each subtree are identical in value, and that the left subtree of the left node matches the right subtree of the right node and vice versa, making the tree symmetric. If all these conditions are met, it returns True, indicating that the tree is symmetric."
25	1010-pairs-of-songs-with-total-durations-divisible-by-60	"In a list of songs, the i-th song has a duration of time[i] seconds. 

Return the number of pairs of songs for which their total duration in seconds is divisible by 60.  Formally, we want the number of indices i < j 
with (time[i] + time[j]) % 60 == 0.

Example 1:
Input: [30,20,150,100,40]
Output: 3
Explanation: Three pairs have a total duration divisible by 60:
(time[0] = 30, time[2] = 150): total duration 180
(time[1] = 20, time[3] = 100): total duration 120
(time[1] = 20, time[4] = 40): total duration 60

Example 2:
Input: [60,60,60]
Output: 3
Explanation: All three pairs have a total duration of 120, which is divisible by 60.
 
Note:
1 <= time.length <= 60000
1 <= time[i] <= 500"	This Python file solves the problem of finding pairs of songs in a list where the total duration of each pair is divisible by 60. It does this by creating a counter dictionary 'd' to keep track of the frequency of each song length modulo 60. Then, it iterates over the song lengths in 'time' and for each song, it increments count by the number of previously encountered songs that, when added to the current song, would result in a total duration divisible by 60. Finally, it increments the song length's frequency in 'd'.
26	1014-best-sightseeing-pair	"Given an array A of positive integers, A[i] represents the value of 
the i-th sightseeing spot, and two sightseeing spots i and j have 
distance j - i between them.
The score of a pair (i < j) of sightseeing spots is (A[i] + A[j] + i - j): 
the sum of the values of the sightseeing spots, minus the distance between them.
Return the maximum score of a pair of sightseeing spots.

Example 1:
Input: [8,1,5,2,6]
Output: 11
Explanation: i = 0, j = 2, A[i] + A[j] + i - j = 8 + 5 + 0 - 2 = 11
 
Note:
2 <= A.length <= 50000
1 <= A[i] <= 1000"	"This Python file solves the 'Best Sightseeing Pair' problem from LeetCode. The problem is about finding the maximum sum of values for two sightseeing spots, considering the value of each spot and the distance between them.

The solution employs a dynamic programming approach. It iterates through the given array and maintains the maximum values for the start and end of the sightseeing pair. It tracks the maximum score for each possible pair (A[i] + A[j] + i - j) while constantly updating the current maximum score. This approach ensures an optimal solution while having a linear time complexity, making it efficient for large arrays. 

The script also offers an alternative method, which exploits the same logic while reducing memory usage. In the alternative, it tracks the current maximum score with a distance decay and keeps updating the answer from it."
27	102-binary-tree-level-order-traversal	"Given a binary tree, return the level order traversal of its nodes' values. (ie, from left to right, level by level).

For example:
Given binary tree [3,9,20,null,null,15,7],
    3
   / \
  9  20
    /  \
   15   7
return its level order traversal as:
[
  [3],
  [9,20],
  [15,7]
]"	"This Python file solves the problem of level order binary tree traversal, as stated in the Leetcode problem #102. 

The script defines a binary tree node and a method to traverse it from left to right, level by level. It handles the task by initializing a list with the root node and a result array. It iterates as long as there are elements in the current list. During each iteration, it appends node values to a temp list and appends the left and right children to a nex list. The current list is then updated with the nex list, and the temp list is appended to the result. If the passed root is None, it returns an empty list."
28	1021-remove-outermost-parentheses	"A valid parentheses string is either empty (""""), ""("" + A + "")"", or A + B, where A and B are 
valid parentheses strings, and + represents string concatenation.  For example, """", ""()"", ""(())()"", 
and ""(()(()))"" are all valid parentheses strings.
A valid parentheses string S is primitive if it is nonempty, and there does not exist a way to 
split it into S = A+B, with A and B nonempty valid parentheses strings.
Given a valid parentheses string S, consider its primitive decomposition: S = P_1 + P_2 + ... + P_k, 
where P_i are primitive valid parentheses strings.
Return S after removing the outermost parentheses of every primitive string in the primitive 
decomposition of S.

Example 1:
Input: ""(()())(())""
Output: ""()()()""
Explanation: 
The input string is ""(()())(())"", with primitive decomposition ""(()())"" + ""(())"".
After removing outer parentheses of each part, this is ""()()"" + ""()"" = ""()()()"".

Example 2:
Input: ""(()())(())(()(()))""
Output: ""()()()()(())""
Explanation: 
The input string is ""(()())(())(()(()))"", with primitive decomposition ""(()())"" + ""(())"" + ""(()(()))"".
After removing outer parentheses of each part, this is ""()()"" + ""()"" + ""()(())"" = ""()()()()(())"".

Example 3:
Input: ""()()""
Output: """"
Explanation: 
The input string is ""()()"", with primitive decomposition ""()"" + ""()"".
After removing outer parentheses of each part, this is """" + """" = """".
 
Note:
S.length <= 10000
S[i] is ""("" or "")""
S is a valid parentheses string"	"This Python file is a solution to the problem ""Remove Outermost Parentheses"" from LeetCode. It optimizes the handling of valid parentheses strings by removing extraneous outer parentheses.

The problem-solving approach uses a counter to track open and close parentheses, ensuring the balance of the parentheses string. The outermost parentheses are excluded from the final string, effectively removing them. Matching pairs of parentheses are maintained within the string. The solution utilizes list comprehension for efficient memory usage and code readability."
29	1025-divisor-game	"Alice and Bob take turns playing a game, with Alice starting first.
Initially, there is a number N on the chalkboard.  On each player's turn, that player makes a move consisting of:
Choosing any x with 0 < x < N and N % x == 0.
Replacing the number N on the chalkboard with N - x.
Also, if a player cannot make a move, they lose the game.
Return True if and only if Alice wins the game, assuming both players play optimally.

Example 1:
Input: 2
Output: true
Explanation: Alice chooses 1, and Bob has no more moves.

Example 2:
Input: 3
Output: false
Explanation: Alice chooses 1, Bob chooses 1, and Alice has no more moves.
 
Note:
1 <= N <= 1000"	"This Python file resolves a mathematical game scenario problem. It determines whether Alice can win a game, where Alice and Bob make turns subtracting a divisor of a number (N) from N itself. If a player can't make a move, they lose.

The solution lies in Number Theory, concluding that Alice wins if N is an even number. The script exploits this by returning the boolean of N modulo 2: if N is even, Alice wins (returns True) else, Bob wins (returns False)."
30	1026-maximum-difference-between-node-and-ancestor	"Given the root of a binary tree, find the maximum value V for which there exists different nodes A and B 
where V = |A.val - B.val| and A is an ancestor of B.
(A node A is an ancestor of B if either: any child of A is equal to B, or any child of A is an ancestor of B.)

Example 1:
Input: [8,3,10,1,6,null,14,null,null,4,7,13]
Output: 7

Explanation: 
We have various ancestor-node differences, some of which are given below :
|8 - 3| = 5
|3 - 7| = 4
|8 - 1| = 7
|10 - 13| = 3
Among all possible differences, the maximum value of 7 is obtained by |8 - 1| = 7.

Note:
The number of nodes in the tree is between 2 and 5000.
Each node will have value between 0 and 100000."	This Python file solves the problem of finding the greatest difference between a node and its ancestor in a binary tree. It computes this by performing a depth-first traversal on the tree. During traversal, it keeps track of the maximum and minimum values encountered so far. For each node, it calculates the difference between the node's value and the min/max values, then returns the maximum of these differences. This way, the file ensures all possible differences within subtrees are calculated and the max difference is returned.
31	1027-longest-arithmetic-sequence	"Given an array A of integers, return the length of the longest arithmetic subsequence in A.
Recall that a subsequence of A is a list A[i_1], A[i_2], ..., A[i_k] with 
0 <= i_1 < i_2 < ... < i_k <= A.length - 1, and that a sequence B is arithmetic if B[i+1] - B[i] 
are all the same value (for 0 <= i < B.length - 1).

Example 1:
Input: [3,6,9,12]
Output: 4
Explanation: 
The whole array is an arithmetic sequence with steps of length = 3.

Example 2:
Input: [9,4,7,2,10]
Output: 3
Explanation: 
The longest arithmetic subsequence is [4,7,10].

Example 3:
Input: [20,1,15,3,10,5,8]
Output: 4
Explanation: 
The longest arithmetic subsequence is [20,15,10,5].
 
Note:
2 <= A.length <= 2000
0 <= A[i] <= 10000"	"This Python script is a solution to find the length of the longest arithmetic subsequence in an array. It specifically can solve array sequence problems like the one listed at https://leetcode.com/problems/longest-arithmetic-sequence. 

The solution uses dynamic programming to save previous subsequence lengths. For each pair of elements in the array, it calculates the difference and uses this as a key to store the length of the longest sequence with this difference seen so far. It keeps updating the maximum length seen. This ensures that the time complexity is O(n^2) and the space complexity is also O(n^2)."
32	1029-two-city-scheduling	"There are 2N people a company is planning to interview. The cost of flying the i-th person to city A is costs[i][0], 
and the cost of flying the i-th person to city B is costs[i][1].
Return the minimum cost to fly every person to a city such that exactly N people arrive in each city.

Example 1:
Input: [[10,20],[30,200],[400,50],[30,20]]
Output: 110
Explanation: 
The first person goes to city A for a cost of 10.
The second person goes to city A for a cost of 30.
The third person goes to city B for a cost of 50.
The fourth person goes to city B for a cost of 20.
The total minimum cost is 10 + 30 + 50 + 20 = 110 to have half the people interviewing in each city.
 
Note:
1 <= costs.length <= 100
It is guaranteed that costs.length is even.
1 <= costs[i][0], costs[i][1] <= 1000"	"The Python file '1029-two-city-scheduling' solves the problem of minimizing the travel cost for interviewing 2N people in two different cities. It ensures each city hosts exactly N people.

It solves the problem by implementing a function, `twoCitySchedCost(self, costs: List[List[int]]) -> int`, which first sorts the `costs` list based on the difference of the two cities' costs. Then it iteratively adds the lesser cost to the result, selecting city B's cost for the first N people (assuming it's cheaper after sorting) and city A's cost for the remainder. The final result is the minimum total cost."
